Plate ID	Barcode	Well ID	Read 1:650	Read 2:750	Reading Date/Time	Well
plate_01	01	SPL1	0.085	0.081	09/04/2022 12:26:00	A1
plate_01	01	SPL2	0.083	0.081	09/04/2022 12:26:00	B1
plate_01	01	SPL3	0.083	0.082	09/04/2022 12:26:00	C1
plate_01	01	SPL4	0.083	0.082	09/04/2022 12:26:00	D1
plate_01	01	SPL5	0.082	0.082	09/04/2022 12:26:00	E1
plate_01	01	SPL6	0.083	0.081	09/04/2022 12:26:00	F1
plate_01	01	SPL7	0.085	0.083	09/04/2022 12:26:00	G1
plate_01	01	SPL8	0.084	0.081	09/04/2022 12:26:00	H1
plate_01	01	SPL9	0.082	0.080	09/04/2022 12:26:00	A2
plate_01	01	SPL10	0.688	0.602	09/04/2022 12:26:00	B2
plate_01	01	SPL11	0.883	0.786	09/04/2022 12:26:00	C2
plate_01	01	SPL12	0.511	0.440	09/04/2022 12:26:00	D2
plate_01	01	SPL13	0.757	0.660	09/04/2022 12:26:00	E2
plate_01	01	SPL14	0.561	0.485	09/04/2022 12:26:00	F2
plate_01	01	SPL15	0.755	0.657	09/04/2022 12:26:00	G2
plate_01	01	SPL16	0.084	0.082	09/04/2022 12:26:00	H2
plate_01	01	SPL17	0.081	0.079	09/04/2022 12:26:00	A3
plate_01	01	SPL18	0.498	0.440	09/04/2022 12:26:00	B3
plate_01	01	SPL19	0.510	0.429	09/04/2022 12:26:00	C3
plate_01	01	SPL20	0.493	0.414	09/04/2022 12:26:00	D3
plate_01	01	SPL21	0.440	0.385	09/04/2022 12:26:00	E3
plate_01	01	SPL22	0.198	0.184	09/04/2022 12:26:00	F3
plate_01	01	SPL23	0.499	0.436	09/04/2022 12:26:00	G3
plate_01	01	SPL24	0.086	0.083	09/04/2022 12:26:00	H3
plate_01	01	SPL25	0.085	0.084	09/04/2022 12:26:00	A4
plate_01	01	SPL26	0.612	0.542	09/04/2022 12:26:00	B4
plate_01	01	SPL27	0.577	0.462	09/04/2022 12:26:00	C4
plate_01	01	SPL28	0.421	0.369	09/04/2022 12:26:00	D4
plate_01	01	SPL29	0.552	0.485	09/04/2022 12:26:00	E4
plate_01	01	SPL30	0.484	0.416	09/04/2022 12:26:00	F4
plate_01	01	SPL31	0.588	0.513	09/04/2022 12:26:00	G4
plate_01	01	SPL32	0.095	0.092	09/04/2022 12:26:00	H4
plate_01	01	SPL33	0.081	0.079	09/04/2022 12:26:00	A5
plate_01	01	SPL34	0.298	0.270	09/04/2022 12:26:00	B5
plate_01	01	SPL35	0.234	0.213	09/04/2022 12:26:00	C5
plate_01	01	SPL36	0.301	0.258	09/04/2022 12:26:00	D5
plate_01	01	SPL37	0.386	0.331	09/04/2022 12:26:00	E5
plate_01	01	SPL38	0.405	0.353	09/04/2022 12:26:00	F5
plate_01	01	SPL39	0.412	0.360	09/04/2022 12:26:00	G5
plate_01	01	SPL40	0.084	0.083	09/04/2022 12:26:00	H5
plate_01	01	SPL41	0.080	0.079	09/04/2022 12:26:00	A6
plate_01	01	SPL42	0.531	0.461	09/04/2022 12:26:00	B6
plate_01	01	SPL43	0.470	0.406	09/04/2022 12:26:00	C6
plate_01	01	SPL44	0.473	0.386	09/04/2022 12:26:00	D6
plate_01	01	SPL45	0.535	0.492	09/04/2022 12:26:00	E6
plate_01	01	SPL46	0.482	0.418	09/04/2022 12:26:00	F6
plate_01	01	SPL47	0.624	0.540	09/04/2022 12:26:00	G6
plate_01	01	SPL48	0.085	0.083	09/04/2022 12:26:00	H6
plate_01	01	SPL49	0.080	0.079	09/04/2022 12:26:00	A7
plate_01	01	SPL50	0.503	0.425	09/04/2022 12:26:00	B7
plate_01	01	SPL51	0.415	0.348	09/04/2022 12:26:00	C7
plate_01	01	SPL52	0.457	0.372	09/04/2022 12:26:00	D7
plate_01	01	SPL53	0.399	0.340	09/04/2022 12:26:00	E7
plate_01	01	SPL54	0.438	0.374	09/04/2022 12:26:00	F7
plate_01	01	SPL55	0.514	0.444	09/04/2022 12:26:00	G7
plate_01	01	SPL56	0.090	0.089	09/04/2022 12:26:00	H7
plate_01	01	SPL57	0.081	0.080	09/04/2022 12:26:00	A8
plate_01	01	SPL58	0.683	0.600	09/04/2022 12:26:00	B8
plate_01	01	SPL59	0.543	0.468	09/04/2022 12:26:00	C8
plate_01	01	SPL60	0.476	0.402	09/04/2022 12:26:00	D8
plate_01	01	SPL61	0.621	0.525	09/04/2022 12:26:00	E8
plate_01	01	SPL62	0.649	0.557	09/04/2022 12:26:00	F8
plate_01	01	SPL63	0.705	0.607	09/04/2022 12:26:00	G8
plate_01	01	SPL64	0.083	0.082	09/04/2022 12:26:00	H8
plate_01	01	SPL65	0.082	0.081	09/04/2022 12:26:00	A9
plate_01	01	SPL66	0.510	0.446	09/04/2022 12:26:00	B9
plate_01	01	SPL67	0.476	0.401	09/04/2022 12:26:00	C9
plate_01	01	SPL68	0.462	0.385	09/04/2022 12:26:00	D9
plate_01	01	SPL69	0.465	0.396	09/04/2022 12:26:00	E9
plate_01	01	SPL70	0.500	0.430	09/04/2022 12:26:00	F9
plate_01	01	SPL71	0.484	0.418	09/04/2022 12:26:00	G9
plate_01	01	SPL72	0.083	0.082	09/04/2022 12:26:00	H9
plate_01	01	SPL73	0.082	0.081	09/04/2022 12:26:00	A10
plate_01	01	SPL74	0.700	0.621	09/04/2022 12:26:00	B10
plate_01	01	SPL75	0.625	0.551	09/04/2022 12:26:00	C10
plate_01	01	SPL76	0.572	0.491	09/04/2022 12:26:00	D10
plate_01	01	SPL77	0.524	0.463	09/04/2022 12:26:00	E10
plate_01	01	SPL78	0.508	0.451	09/04/2022 12:26:00	F10
plate_01	01	SPL79	0.704	0.611	09/04/2022 12:26:00	G10
plate_01	01	SPL80	0.084	0.082	09/04/2022 12:26:00	H10
plate_01	01	SPL81	0.080	0.079	09/04/2022 12:26:00	A11
plate_01	01	SPL82	0.527	0.467	09/04/2022 12:26:00	B11
plate_01	01	SPL83	0.499	0.438	09/04/2022 12:26:00	C11
plate_01	01	SPL84	0.537	0.467	09/04/2022 12:26:00	D11
plate_01	01	SPL85	0.532	0.477	09/04/2022 12:26:00	E11
plate_01	01	SPL86	0.533	0.473	09/04/2022 12:26:00	F11
plate_01	01	SPL87	0.525	0.464	09/04/2022 12:26:00	G11
plate_01	01	SPL88	0.083	0.081	09/04/2022 12:26:00	H11
plate_01	01	SPL89	0.075	0.072	09/04/2022 12:26:00	A12
