Plate ID	Barcode	Well ID	Read 1:650	Read 2:750	Reading Date/Time	Well
plate_01	01	SPL1	0.082	0.082	06/04/2022 10:42:58	A1
plate_01	01	SPL2	0.081	0.082	06/04/2022 10:42:58	B1
plate_01	01	SPL3	0.083	0.083	06/04/2022 10:42:58	C1
plate_01	01	SPL4	0.082	0.083	06/04/2022 10:42:58	D1
plate_01	01	SPL5	0.082	0.084	06/04/2022 10:42:58	E1
plate_01	01	SPL6	0.081	0.082	06/04/2022 10:42:58	F1
plate_01	01	SPL7	0.084	0.084	06/04/2022 10:42:58	G1
plate_01	01	SPL8	0.088	0.087	06/04/2022 10:42:58	H1
plate_01	01	SPL9	0.081	0.082	06/04/2022 10:42:58	A2
plate_01	01	SPL10	0.318	0.255	06/04/2022 10:42:58	B2
plate_01	01	SPL11	0.176	0.148	06/04/2022 10:42:58	C2
plate_01	01	SPL12	0.176	0.156	06/04/2022 10:42:58	D2
plate_01	01	SPL13	0.346	0.285	06/04/2022 10:42:58	E2
plate_01	01	SPL14	0.199	0.173	06/04/2022 10:42:58	F2
plate_01	01	SPL15	0.142	0.132	06/04/2022 10:42:58	G2
plate_01	01	SPL16	0.082	0.083	06/04/2022 10:42:58	H2
plate_01	01	SPL17	0.080	0.081	06/04/2022 10:42:58	A3
plate_01	01	SPL18	0.126	0.112	06/04/2022 10:42:58	B3
plate_01	01	SPL19	0.095	0.093	06/04/2022 10:42:58	C3
plate_01	01	SPL20	0.101	0.097	06/04/2022 10:42:58	D3
plate_01	01	SPL21	0.128	0.116	06/04/2022 10:42:58	E3
plate_01	01	SPL22	0.099	0.095	06/04/2022 10:42:58	F3
plate_01	01	SPL23	0.097	0.094	06/04/2022 10:42:58	G3
plate_01	01	SPL24	0.084	0.084	06/04/2022 10:42:58	H3
plate_01	01	SPL25	0.082	0.083	06/04/2022 10:42:58	A4
plate_01	01	SPL26	0.304	0.242	06/04/2022 10:42:58	B4
plate_01	01	SPL27	0.281	0.225	06/04/2022 10:42:58	C4
plate_01	01	SPL28	0.153	0.131	06/04/2022 10:42:58	D4
plate_01	01	SPL29	0.278	0.219	06/04/2022 10:42:58	E4
plate_01	01	SPL30	0.173	0.153	06/04/2022 10:42:58	F4
plate_01	01	SPL31	0.192	0.178	06/04/2022 10:42:58	G4
plate_01	01	SPL32	0.083	0.085	06/04/2022 10:42:58	H4
plate_01	01	SPL33	0.080	0.081	06/04/2022 10:42:58	A5
plate_01	01	SPL34	0.124	0.111	06/04/2022 10:42:58	B5
plate_01	01	SPL35	0.097	0.093	06/04/2022 10:42:58	C5
plate_01	01	SPL36	0.099	0.095	06/04/2022 10:42:58	D5
